time;buy rate;sell rate
0;1,24;1,24944
1;1,24194;1,26
2;1,24683;1,25656
3;1,25002;1,26
4;1,25616;1,26
5;1,25647;1,25824
6;1,25726;1,25759
7;1,25734;1,25759
8;1,25741;1,25759
9;1,25744;1,25759
10;1,2575;1,25759
11;1,25746;1,25759
12;1,25749;1,25752
13;1,24;1,25752
14;1,24;1,25532
15;1,24971;1,25752
16;1,24;1,2502
17;1,24835;1,25752
18;1,2471;1,25457
19;1,24942;1,25457
20;1,24978;1,25153
21;1,24613;1,25074
22;1,24613;1,2488
23;1,24725;1,2488
24;1,24541;1,2473
25;1,24572;1,2473
26;1,24506;1,2488
27;1,24694;1,2488
28;1,24686;1,24878
29;1,24629;1,24878
30;1,24768;1,24878
31;1,2474;1,24878
32;1,24693;1,24843
33;1,24791;1,24878
34;1,24785;1,24878
35;1,24785;1,2484
36;1,24764;1,2484
37;1,24751;1,2483
38;1,24629;1,24773
39;1,24697;1,2479
40;1,24611;1,24745
41;1,2453;1,24721
42;1,24661;1,24712
43;1,2445;1,24711
44;1,24;1,24423
45;1,24379;1,24642
46;1,24;1,24567
47;1,24435;1,24567
48;1,24431;1,24712
49;1,2456;1,24712
50;1,24435;1,24703
51;1,24459;1,24703
52;1,24432;1,24504
53;1,24432;1,24568
54;1,24432;1,24568
55;1,24475;1,24579
56;1,24517;1,24582
57;1,24446;1,24561
58;1,24493;1,2455
59;1,24407;1,24497
60;1,24378;1,2455
61;1,24395;1,24522
62;1,24484;1,24532
63;1,24504;1,24538
64;1,24484;1,24538
65;1,245;1,24538
66;1,24496;1,24538
67;1,24507;1,24528
68;1,24524;1,24538
69;1,24503;1,24538
70;1,24484;1,24526
71;1,24415;1,24538
72;1,24471;1,245
73;1,2433;1,24498
74;1,24359;1,24407
75;1,24332;1,24399
76;1,24385;1,24477
77;1,24445;1,24538
78;1,24445;1,24538
79;1,24443;1,24493
80;1,24426;1,24449
81;1,24419;1,24436
82;1,24423;1,24437
83;1,24417;1,24441
84;1,24325;1,24449
85;1,24417;1,24449
86;1,24376;1,2441
87;1,24361;1,24428
88;1,24402;1,24429
89;1,24417;1,24429
90;1,24402;1,24421
91;1,24397;1,24418
92;1,24401;1,24414
93;1,24354;1,24416
